"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_conductor","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud","Latitud"
"2017S004939    ",-1,"Desconegut",-1,"Desconegut",-1,"Motors                                            ","43-51     ","Dimarts","2017",6,"Juny","6","08","Desobeir altres senyals","Matí","427585.89 ","4577869.16","2.19176671948453","41.4116055474339"
"2017S007937    ",-1,"Desconegut",-1,"Desconegut",-1,"Joan XXIII / Martí i Franquès                     ",,"Dimarts","2017",9,"Setembre","26","09","Gir indegut o sense precaució","Matí","426505.49 ","4581655.96","2.19923911839307","41.4196353407890"
"2017S004739    ",-1,"Desconegut",-1,"Desconegut",-1,"Corts Catalanes                                   ","900       ","Dilluns","2017",5,"Maig","29","22","Manca d'atenció a la conducció","Nit","432587.59 ","4584475.05","2.18687450620338","41.4121980134471"
"2017S008779    ",-1,"Desconegut",-1,"Desconegut",-1,"Número 6 Zona Franca / A Zona Franca              ",,"Dilluns","2017",10,"Octubre","23","22","Desobeir altres senyals","Nit","427519.99 ","4575229.36","2.19095468968184","41.4067690351256"
"2017S004350    ",-1,"Desconegut",-1,"Desconegut",-1,"Aguilar                                           ","7-9       ","Dimarts","2017",5,"Maig","16","14","Altres","Tarda","430758.19 ","4586316.94","2.18655705437924","41.4090040571961"
"2017S004109    ",-1,"Desconegut",-1,"Desconegut",-1,"Zona Franca                                       ","3         ","Diumenge","2017",5,"Maig","7","21","No determinada","Tarda","428629.73 ","4578230.12","2.18451968042250","41.4069122437300"
"2017S004184    ",-1,"Desconegut",-1,"Desconegut",-1,"Aribau                                            ","197-199   ","Dijous","2017",5,"Maig","11","09","Canvi de carril sense precaució","Matí","429014.84 ","4583215.45","2.18586348819172","41.4026168030554"
"2017S006855    ",-1,"Desconegut",-1,"Desconegut",-1,"Corts Catalanes                                   ","140       ","Dimecres","2017",8,"Agost","9","05","No determinada","Nit","427871.64 ","4579858.44","2.18868165090266","41.4037652499740"
"2017S003196    ",-1,"Desconegut",-1,"Desconegut",-1,"Sentís                                            ","0025      ","Dijous","2017",4,"Abril","6","15","Manca d'atenció a la conducció","Tarda","433922.08 ","4587917.81","2.18834036439364","41.4113506662103"
"2017S005627    ",-1,"Desconegut",-1,"Desconegut",-1,"Mare de Déu de Port                               ","54        ","Dimecres","2017",6,"Juny","28","12","Altres","Matí","429399.61 ","4578430.43","2.18717246718850","41.4074324537628"
"2017S003570    ",-1,"Desconegut",-1,"Desconegut",-1,"Francesc Ferrer i Guàrdia                         ","0009-0011 ","Divendres","2017",4,"Abril","21","15","Altres","Tarda","428951.34 ","4580345.2 ","2.19788985001602","41.4124875161045"
"2017S010628    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",226400,"Las Navas de Tolosa","0293 0293","Diumenge","2017",12,"Desembre","24","00","Gir indegut o sense precaució","Nit","432141.03 ","4585382.64","2.19095583054977","41.4093110477934"
"2017S003663    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",226400,"Las Navas de Tolosa","0323 0325","Dilluns","2017",4,"Abril","24","21","Desobeir semàfor","Tarda","432024.02 ","4585501.49","2.19633931759060","41.4135143634929"
"2017S010680    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161407,"Indústria","0303 0303","Dimarts","2017",12,"Desembre","26","20","No determinada","Tarda","431863.93 ","4585505.67","2.18788717248325","41.4145382811135"
"2017S003193    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",194406,"Maragall","0052 0054","Dijous","2017",4,"Abril","6","14","Desconegut","Tarda","431629.04 ","4585416.36","2.19526684663895","41.4166872329273"
"2017S008857    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",297001,"Sant Antoni Maria Claret","0248 0250","Dijous","2017",10,"Octubre","26","09","Desobeir semàfor","Matí","431181.73 ","4585030.22","2.19183199349359","41.4093885419397"
"2017S007334    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",226400,"Las Navas de Tolosa","0343 0343","Divendres","2017",9,"Setembre","1","22","Altres","Nit","431954.6  ","4585556.54","2.19354220381239","41.4136962077680"
"2017S000269    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",297001,"Sant Antoni Maria Claret","0304X0304X","Dimecres","2017",1,"Gener","11","21","Gir indegut o sense precaució","Tarda","431369.31 ","4584838.67","2.20263257423505","41.4188030978843"
"2017S001202    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",134801,"Freser","0031 0033","Dilluns","2017",2,"Febrer","13","19","Gir indegut o sense precaució","Tarda","431460.81 ","4585127.29","2.21833238318428","41.4069108214777"
"2017S009341    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",90502,"Còrsega","0634 0634","Dissabte","2017",11,"Novembre","11","08","Avançament defectuós/improcedent","Matí","431369.31 ","4584838.67","2.21965720055703","41.4073386588815"
"2017S004180    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",90502,"Còrsega","0653 0653","Dijous","2017",5,"Maig","11","09","No respectar distàncies","Matí","431369.31 ","4584838.67","2.20490934525526","41.4222042177712"
"2017S001826    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",289105,"Rosselló","0541 0543","Dilluns","2017",3,"Març","6","04","Desobeir semàfor","Nit","431461.64 ","4584743.79","2.20632646527512","41.4232764296407"
"2017S009138    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",289105,"Rosselló","0517 0517","Diumenge","2017",11,"Novembre","5","01","Desobeir semàfor","Nit","431461.64 ","4584743.79","2.20490934525526","41.4222042177712"
"2017S006584    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",18505,"Aragó","0533 0533","Divendres","2017",7,"Juliol","28","17","Manca d'atenció a la conducció","Tarda","431877.03 ","4584413.1 ","2.13328896026268","41.3472188464900"
"2017S001133    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",18505,"Aragó","0533 0533","Divendres","2017",2,"Febrer","10","15","Gir indegut o sense precaució","Tarda","431660.6  ","4584737.39","2.11991681526400","41.3812271565483"
"2017S010066    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",191204,"Mallorca","0535 0535","Dissabte","2017",12,"Desembre","2","09","No respectar distàncies","Matí","431792.02 ","4584704.91","2.19233444791618","41.4071510042300"
"2017S009573    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161101,"Independència","0303 0303","Divendres","2017",11,"Novembre","17","21","Altres","Tarda","431748.64 ","4584647.26","2.13281660051173","41.3234370600014"
"2017S008277    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",191204,"Mallorca","0518 0518","Dissabte","2017",10,"Octubre","7","06","Desobeir semàfor","Matí","431651.12 ","4584550.2 ","2.17023815734252","41.4235846238266"
"2017S002462    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",368507,"Xifré","0001 0007","Dimarts","2017",3,"Març","28","08","Desobeir altres senyals","Matí","431837.23 ","4584359.62","2.14572246620060","41.3505631447469"
"2017S006269    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",368507,"Xifré","0030 0030","Dimarts","2017",7,"Juliol","18","10","Manca d'atenció a la conducció","Matí","431814.66 ","4584712.35","2.14974129999050","41.3954984278639"
"2017S000810    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",350308,"València","0609 0609","Dilluns","2017",1,"Gener","30","20","Manca d'atenció a la conducció","Tarda","431922.33 ","4584802.57","2.13646756069008","41.3651612829746"
"2017S009871    ",10,"Sant Martí",65,"el Clot",146902,"Glòries Catalanes","0019 0021","Dilluns","2017",11,"Novembre","27","14","Altres","Tarda","432042    ","4583976.74","2.20792263539846","41.4382698981075"
"2017S008042    ",10,"Sant Martí",72,"Sant Martí de Provençals",169409,"Corts Catalanes","1033 1033","Divendres","2017",9,"Setembre","29","15","No respectar distàncies","Tarda","433366.47 ","4585249.15","2.15490125179939","41.3524351903642"
"2017S004053    ",10,"Sant Martí",72,"Sant Martí de Provençals",153205,"Guipúscoa","0036B0036B","Dilluns","2017",5,"Maig","8","07","Altres","Matí","432876.41 ","4585348.43","2.14931862161514","41.3696414701959"
"2017S010616    ",10,"Sant Martí",65,"el Clot",18505,"Aragó","0560 0560","Dissabte","2017",12,"Desembre","23","11","No respectar distàncies","Matí","431940.62 ","4584488.01","2.18689031416923","41.4152877819504"
"2017S006033    ",10,"Sant Martí",65,"el Clot",161101,"Independència","0265B0265B","Dimarts","2017",7,"Juliol","11","18","No respectar distàncies","Tarda","431934.16 ","4584454.66","2.18547696752069","41.4163483282530"
"2017S006742    ",10,"Sant Martí",65,"el Clot",169409,"Corts Catalanes","0823 0833","Dijous","2017",8,"Agost","3","21","Desobeir semàfor","Tarda","432229.7  ","4584197.87","2.18356105116123","41.4163724057942"
"2017S006641    ",10,"Sant Martí",65,"el Clot",169409,"Corts Catalanes","0823 0833","Dilluns","2017",7,"Juliol","31","10","Canvi de carril sense precaució","Matí","432255.32 ","4584222.72","2.18076074293953","41.4155480511340"
"2017S009107    ",10,"Sant Martí",65,"el Clot",169409,"Corts Catalanes","0823 0833","Dissabte","2017",11,"Novembre","4","08","Desobeir semàfor","Matí","432042    ","4583976.74","2.17545280600587","41.4120320018594"
"2017S004598    ",10,"Sant Martí",72,"Sant Martí de Provençals",169409,"Corts Catalanes","0967E0967E","Dimecres","2017",5,"Maig","24","19","Altres","Tarda","433057.41 ","4585063.19","2.18464017265558","41.4168382654042"
"2017S009419    ",10,"Sant Martí",72,"Sant Martí de Provençals",3406,"Agricultura","0316 0316","Dilluns","2017",11,"Novembre","13","15","Manca d'atenció a la conducció","Tarda","433023.54 ","4586098.38","2.17771875731547","41.4103228277772"
"2017S001809    ",10,"Sant Martí",65,"el Clot",81603,"Clot","0033 0033","Diumenge","2017",3,"Març","5","01","Manca d'atenció a la conducció","Nit","432185.87 ","4584728.44","2.17878071038030","41.4129301491833"
"2017S000137    ",10,"Sant Martí",72,"Sant Martí de Provençals",15201,"Andrade","0110 0110","Divendres","2017",1,"Gener","6","22","Desobeir semàfor","Nit","432261.78 ","4584802.09","2.17771875731547","41.4103228277772"
"2017S003896    ",10,"Sant Martí",72,"Sant Martí de Provençals",268604,"Pont del Treball Digne","0015X0015X","Dimarts","2017",5,"Maig","2","18","Canvi de carril sense precaució","Tarda","432945.98 ","4586161.87","2.17771875731547","41.4103228277772"
"2017S008875    ",10,"Sant Martí",65,"el Clot",42306,"Bilbao","0241 0243","Dijous","2017",10,"Octubre","26","19","Avançament defectuós/improcedent","Tarda","432544.75 ","4584970.03","2.17883412021401","41.4094761597731"
"2017S008974    ",10,"Sant Martí",72,"Sant Martí de Provençals",3406,"Agricultura","0284 0288","Dilluns","2017",10,"Octubre","30","14","Altres","Tarda","433177.51 ","4585855.69","2.17883412021401","41.4094761597731"
"2017S010728    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",209900,"Meridiana","0151B0151B","Dijous","2017",12,"Desembre","28","17","Desobeir altres senyals","Tarda","432136.49 ","4585039.63","2.18384091252642","41.4065330816326"
"2017S008897    ",10,"Sant Martí",65,"el Clot",169409,"Corts Catalanes","0859 0859","Divendres","2017",10,"Octubre","27","12","No respectar distàncies","Matí","432471.87 ","4584433.72","2.18121510760707","41.4094354729915"
"2017S008151    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",209900,"Meridiana","0121 0121","Dimarts","2017",10,"Octubre","3","16","Manca d'atenció a la conducció","Tarda","432106.63 ","4584685.29","2.18279101882125","41.4091541087677"
"2017S001864    ",10,"Sant Martí",65,"el Clot",191204,"Mallorca","0621 0621","Dimarts","2017",3,"Març","7","11","Gir indegut o sense precaució","Matí","431934.16 ","4584454.66","2.18227855121037","41.4086311875892"
"2017S001808    ",10,"Sant Martí",65,"el Clot",191204,"Mallorca","0623 0623","Diumenge","2017",3,"Març","5","02","Desobeir semàfor","Nit","432042    ","4583976.73","2.18112285478852","41.4077487047724"
"2017S002139    ",10,"Sant Martí",65,"el Clot",191204,"Mallorca","0623 0623","Divendres","2017",3,"Març","17","01","Desobeir semàfor","Nit","432278.76 ","4584102.02","2.18337081380528","41.4060480267621"
"2017S010563    ",10,"Sant Martí",65,"el Clot",350308,"València","0640 0644","Dijous","2017",12,"Desembre","21","15","Manca d'atenció a la conducció","Tarda","432258.12 ","4584944.41","2.18306103288166","41.4092230411396"
