Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Concepte,Rang_soroll,Valor
1,Ciutat Vella,1,el Raval,TOTAL_D,<40 dB,7.73%
1,Ciutat Vella,1,el Raval,TOTAL_D,40-45 dB,26.98%
1,Ciutat Vella,1,el Raval,TOTAL_D,45-50 dB,7.38%
1,Ciutat Vella,1,el Raval,TOTAL_D,50-55 dB,11.97%
1,Ciutat Vella,1,el Raval,TOTAL_D,55-60 dB,19.85%
1,Ciutat Vella,1,el Raval,TOTAL_D,60-65 dB,16.87%
1,Ciutat Vella,1,el Raval,TOTAL_D,65-70 dB,7.06%
1,Ciutat Vella,1,el Raval,TOTAL_D,70-75 dB,2.16%
1,Ciutat Vella,1,el Raval,TOTAL_D,75-80 dB,0.00%
1,Ciutat Vella,1,el Raval,TOTAL_D,>=80 dB,0.00%
1,Ciutat Vella,2,el Barri Gòtic,TOTAL_D,<40 dB,4.27%
1,Ciutat Vella,2,el Barri Gòtic,TOTAL_D,40-45 dB,16.87%
1,Ciutat Vella,2,el Barri Gòtic,TOTAL_D,45-50 dB,16.59%
1,Ciutat Vella,2,el Barri Gòtic,TOTAL_D,50-55 dB,12.70%
1,Ciutat Vella,2,el Barri Gòtic,TOTAL_D,55-60 dB,25.01%
1,Ciutat Vella,2,el Barri Gòtic,TOTAL_D,60-65 dB,19.33%
1,Ciutat Vella,2,el Barri Gòtic,TOTAL_D,65-70 dB,2.30%
1,Ciutat Vella,2,el Barri Gòtic,TOTAL_D,70-75 dB,2.90%
1,Ciutat Vella,2,el Barri Gòtic,TOTAL_D,75-80 dB,0.03%
1,Ciutat Vella,2,el Barri Gòtic,TOTAL_D,>=80 dB,0.00%
1,Ciutat Vella,3,la Barceloneta,TOTAL_D,<40 dB,1.23%
1,Ciutat Vella,3,la Barceloneta,TOTAL_D,40-45 dB,9.87%
1,Ciutat Vella,3,la Barceloneta,TOTAL_D,45-50 dB,17.32%
1,Ciutat Vella,3,la Barceloneta,TOTAL_D,50-55 dB,32.48%
1,Ciutat Vella,3,la Barceloneta,TOTAL_D,55-60 dB,22.22%
1,Ciutat Vella,3,la Barceloneta,TOTAL_D,60-65 dB,13.05%
1,Ciutat Vella,3,la Barceloneta,TOTAL_D,65-70 dB,2.65%
1,Ciutat Vella,3,la Barceloneta,TOTAL_D,70-75 dB,0.82%
1,Ciutat Vella,3,la Barceloneta,TOTAL_D,75-80 dB,0.36%
1,Ciutat Vella,3,la Barceloneta,TOTAL_D,>=80 dB,0.00%
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",TOTAL_D,<40 dB,4.98%
